model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,is_gaming_laptop,is_regular_laptop
honor magicbook x14 laptop,honor,11th gen core i5,8,512,1000,Windows,‎Intel Iris Xe Graphics,14.0,1920 x 1080,4,8,63,46990,False,True
chuwi corebook x laptop,chuwi,12th gen core i3,16,512,564,Windows,Intel HD Graphics,14.0,2160 x 1440,6,8,54,33990,False,True
dell inspiron 15 3520 d560915win9s laptop,dell,12th gen core i3,8,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,6,8,59,46900,False,True
dell inspiron 3520 d560866win9s laptop,dell,12th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,10,12,60,63690,False,True
lenovo v15 82kda00yih laptop,lenovo,amd ryzen 5 5500u,8,512,1000,DOS,AMD Radeon Graphics,15.6,1920 x 1080,6,12,56,42137,False,True
hp 245 g8 3s7l2pa laptop,hewlett packard,amd ryzen 3 3250u,4,192,1000,Windows,AMD Radeon Graphics,14.0,1920 x 1080,2,4,53,24990,False,True
acer aspire 3 a314-35 un.k0ssi.040 laptop,acer,pentium silver n6005,4,256,1000,Windows,Intel Integrated UHD,14.0,1366 x 768,4,4,50,37990,False,True
asus vivobook 15 x1500ea-ej3379ws laptop,asus,11th gen core i3,8,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,51,42990,False,True
lenovo v15 82kba01kih laptop,lenovo,11th gen core i5,8,512,1000,DOS,Intel Integrated UHD,15.6,1920 x 1080,4,8,60,52500,False,True
hp 255 g8 business laptop,hewlett packard,athlon 3050u,8,256,1000,Windows,AMD Radeon Graphics,15.6,1366 x 768,2,2,47,27390,False,True
lenovo e41-55 82fj00alih laptop,lenovo,athlon 3150u,4,256,1000,DOS,AMD Radeon AMD,14.0,1366 x 768,2,2,48,18990,False,True
lenovo e41-55 82fj00blih laptop,lenovo,athlon 3050u,4,256,532,Windows,AMD Radeon AMD,14.0,1366 x 768,2,2,51,20990,False,True
dell inspiron 5620 laptop,dell,12th gen core i7,16,512,1000,Windows,2 GB NVIDIA GeForce MX570,16.0,1920 x 1080,10,12,69,98450,False,True
acer aspire 7 a715-51g un.qgcsi.002 gaming laptop,acer,12th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,12,16,76,73990,True,False
asus vivobook 14 x415ea-ek522ws laptop,asus,11th gen core i5,8,512,1000,Windows,Intel Integrated Intel UHD,14.0,1920 x 1080,4,8,65,49490,False,True
dell alienware m15 r7 gaming laptop,dell,12th gen core i7,16,512,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,14,20,84,168990,True,False
asus vivobook 16x m1603qa-mb512ws laptop,asus,ryzen 5 5600h,16,512,1000,Windows,AMD Radeon Vega 7,16.0,1200 x 1920,6,12,68,54990,False,True
acer extensa ex215-31 laptop,acer,pentium n5030,8,256,1000,Windows,Intel Integrated UHD 605,15.6,1366 x 768,4,4,50,24990,False,True
asus vivobook 15 2022 x1502za-ej514ws laptop,asus,12th gen core i5,8,512,1000,Windows,Intel Iris Xe,15.6,1920 x 1080,10,12,62,56990,False,True
asus vivobook 15 x1500ea-ej522ws laptop,asus,11th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,4,8,56,46890,False,True
lenovo ideapad 3 82ku017kin laptop,lenovo,amd ryzen 5 5500u,8,512,1000,Windows,AMD Radeon Graphics,15.6,1920 x 1080,6,12,57,45278,False,True
dell g15-5521 d560897win9s gaming laptop,dell,12th gen core i9,16,1000,1000,Windows,8 GB NVIDIA GEFORCE RTX 3070 Ti,15.6,2560 x 1440,14,20,71,138990,True,False
dell inspiron 5420 laptop,dell,12th gen core i7,16,512,1000,Windows,Intel Integrated Iris,14.0,1920 x 1200,10,12,57,79490,False,True
hp 255 g8 6x4b2pa laptop,hewlett packard,amd athlon 3050,4,256,532,DOS,‎AMD Integrated,15.6,1920 x 1080,2,2,50,21633,False,True
asus vivobook 15 oled x1505za-l1511ws laptop,asus,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,10,12,61,67499,False,True
microsoft surface laptop 5 13.5 inch,microsoft,12th gen core i5,8,256,1000,Windows,Intel Iris Xe,13.5,2256 x 1504,10,12,50,98990,False,True
infinix inbook x2 plus xl25 laptop,infinix,11th gen core i3,8,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,45,34990,False,True
infinix inbook x2 plus xl25 laptop,infinix,11th gen core i7,16,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4,8,59,57990,False,True
infinix inbook x2 plus xl25 laptop,infinix,11th gen core i5,8,512,564,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,4,8,49,47990,False,True
honor magicbook 14 m-wfq9ahne laptop,honor,amd ryzen 5 5500u,16,512,1000,Windows,AMD Radeon,14.0,1920 x 1080,6,12,59,44990,False,True
hp victus 15-fa0092tx laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,8,12,69,81990,False,True
hp probook 440 g8 laptop,hewlett packard,11th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,14.0,1366 x 768,4,8,56,51990,False,True
lenovo legion 5 82rb00k8in laptop,lenovo,12th gen core i7,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,2560 x 1600,14,20,86,141990,False,True
dell inspiron 3520 d560879win9s laptop,dell,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,15.6,1920 x 1080,10,12,62,65990,False,True
hp omen 16-n0091ax gaming laptop,hewlett packard,amd ryzen 7 6800h,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050Ti,16.1,1920 x 1080,8,16,69,115903,True,False
msi modern 15 b12m-202in laptop,micro star international,12th gen core i5,8,512,1000,Windows,Intel Integrated Iris Xe,15.6,1920 x 1080,10,12,61,55490,False,True
lenovo legion 5 pro 16iah7h 82rf00dyin gaming laptop,lenovo,12th gen core i7,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,16.0,2560 x 1600,14,20,84,164990,True,False
asus vivobook pro 15 oled m3500qc-l1461ws gaming laptop,asus,amd ryzen 5 5600h,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,6,12,69,98500,True,False
lenovo v15 82c3001vsp laptop,lenovo,celeron n4020,4,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,2,51,21999,False,True
dell inspiron 5320 laptop,dell,12th gen core i5,16,512,1000,Windows,Intel Integrated UHD,13.3,2560 x 1600,12,16,66,76490,False,True
asus tuf gaming a15 2022 fa506qm-hn008w gaming laptop,asus,amd ryzen 7 5800h,16,512,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,8,16,75,89990,True,False
lenovo e41-55 amd laptop,lenovo,athlon pro 3045b,8,192,1000,Windows,AMD Radeon Graphics,14.0,1920 x 1080,2,2,44,22999,False,True
asus vivobook 14 2022 x1402za-ek391ws laptop,asus,12th gen core i3,8,256,1000,Windows,Intel Integrated Iris Xe Graphics,14.0,1920 x 1080,10,12,60,38990,False,True
lenovo ideapad 3 82ku00lqin laptop,lenovo,amd ryzen 5 5500u,8,512,1000,Windows,AMD Radeon Graphics,15.6,1920 x 1080,6,12,55,46990,False,True
lenovo v15 g2-itl business laptop,lenovo,11th gen core i5,8,512,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,4,8,56,48999,False,True
lenovo ideapad gaming 3 82k1019bin laptop,lenovo,11th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,4,8,71,68989,True,False
msi gaming katana gf76 11sc-847in laptop,micro star international,11th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce GTX1650,15.6,1920 x 1080,6,12,72,55990,True,False
msi katana gf66 12ud-640in gaming laptop,micro star international,12th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050 Ti,15.6,1920 x 1080,8,12,76,77990,True,False
msi thin gf63 12hw-004in gaming laptop,micro star international,12th gen core i5,8,512,1000,Windows,Intel Integrated ARC,15.6,1920 x 1080,12,16,60,54990,True,False
